Название,Текст
"Breathe респираторная смесь","doTERRA Breathe - уникальная смесь эфирных масел для здоровья дыхательной системы

🍃 ИНГРЕДИЕНТЫ:
Эфирные масла из листьев лавра, эвкалипта, мяты перечной, чайного дерева, кожуры лимона, семян кардамона, листьев равенсары, листьев коричника камфорного.

🌸 Аромат: Мятный, свежий, воздушный 

doTERRA Breathe можно наносить местно на грудь, спину или стопы, а также распылять в ночное время для расслабления и полноценного сна, делать сухие ингаляции с ладоней.

• Помогает настроиться на легкий сон.
• Создает уютную атмосферу для дома.
• Способствует свежему и легкому дыханию во время тренировок или прогулок на улице 

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Дикий апельсин ","Казалось бы, такой простой и понятный нашему носу эфир - масло дикого апельсина 🍊 Но сколько силы в нём заключено! ✊
⠀
🔸 Главным химическим компонентом этого эфира является лимонен (88-98%). Именно он и диктует основные свойства эфирного масла
⠀
ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ:
⠀
✔️ Антиоксидант - выводит из организма токсины и продукты распада
✔️ Спазмолитик - снимает спазмы
✔️ Регулятор аппетита - относится к категории «десертных» масел, снижает тягу к еде и в частности к сладкому
✔️ Афродизиак - возбуждает сексуальное желание
✔️ Иммуномодулятор - стимулирует работу иммунитета, меняет иммунный ответ клеток
✔️ Катализатор липолиза - запускает углеводно-жировой обмен, способствует жиросжиганию
✔️ Желчегонное средство - стимулирует выработку желчи
✔️ Антисептик - снимает воспаления, убивает микробы
✔️ Адаптоген - балансирует нервную систему
✔️ Активный коагулянт - повышает свёртываемость крови
✔️ Ветрогонное средство - уменьшает образование в желудочно-кишечном тракте газов и способствует их выводу
✔️ Мочегонное средство - стимулирует образование и вывод мочи, а вместе с ней и токсинов
✔️ Седативное средство - успокаивает при нервных расстройствах и беспокойствах
✔️ Жаропонижающее средство - мягко сбивает температуру, помогая организму бороться с воспалительными процессами
⠀
ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ:
⠀
✔️ Мощнейший антидепрессант - возвращает радость жизни, мотивирует к действиям, выводит из апатии
✔️ Работает с такими состояниями как нужда, чрезмерная серьёзность, трудоголизм, скука, жёсткость и недостаток энергии
✔️ С помощью этого эфирного масла можно развивать состояние изобилия, щедрости, чувство юмора, творчество, радость, спонтанность и игривость

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Грейпфрут ","Грейпфрут - масло номер один для работы со своим телом 🧡
⠀
🔸 Основным химическим компонентом в эфирном масле грейпфрута является лимонен (93,5 -95 %)
⠀
ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ:
⠀
✔️антиоксидантное
✔️желчегонное
✔️гепатопротектор
✔️тонизирующее
✔️антидепрессант
✔️запускает липолиз
✔️антисклеротическое
✔️иммуностимулирующее
✔️противовоспалительное
✔️нормализует деятельность сальных желёз
✔️стимулирует аппетит
✔️стимулирует лимфо/кровообращение
✔️спазмолитик
✔️антибактериальное
✔️отбеливает кожу
✔️мочегонное
⠀
ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ:
⠀
✔️убирает стыд своего тела
✔️избавляет от одержимости едой или диетами
✔️приводит в норму искаженное самовосприятие
✔️развивает принятие тела
✔️прививает ухоженность
✔️помогает проявить здоровое отношение к пище
✔️развивает уважение своих физических потребностей

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Базилик","Базилик - одно из лучших масел для восстановления обоняния, а также отличное средство для людей, страдающих астмой

🔸 Основным химическим компонентом является метилхавикол (75-87%)

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️нормализует пищеварение
✔️стимулирует секрецию желудочного сока 
✔️спазмолитик 
✔️антиоксидант 
✔️антибактериальное 
✔️гипертензивное (повышает давление) 
✔️стимулирует кору надпочечников 
✔️тонизирует нервную систему и психику 
✔️отхаркивающее
✔️антисептик 
✔️ адаптоген
✔️ иммуномодулятор 
✔️стимулирует умственную деятельность 
✔️ветрогонное 
✔️седативное (в высоких дозировках) 
✔️стимулирует лактацию 
✔️согревающее
✔️повышает свёртываемость крови 
(При длительном применении более 3-х недель ежедневно) 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️ тревожность
✔️ подавленность 
✔️ выжатость 
✔️ усталость 
✔️ вредные привычки 

Развивает:
✔️энергичность 
✔️обновление 
✔️чувство свежести
✔️укрепление

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Кориандр","Самое главное преимущество этого масла в том, что его можно применять как пряность в случаях, когда по состоянию здоровья запрещены другие пряности и специи! Поэтому это масло можно смело назвать ДИЕТИЧЕСКИМ 🌱
⠀
🧪 Главным химическим компонентом этого эфира является линалоол (65-70%). В составе также есть камфора, гераниол и его ацетат, линалилацетат, монотерпеновые углеводороды и другие компоненты
⠀
ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ:
⠀
✔️ Нормализует пищеварение, стимулируя секреторно-моторную функцию ЖКТ
✔️ Повышает аппетит (увеличивает агни - огонь пищеварения 🔥)
✔️ Антисептик - убивает бактерии, микробы, вирусы и некоторые виды грибков
✔️ Тонизирует весь организм
✔️ Стимулирует микроциркуляцию крови
✔️ Афродизиак - повышает либидо (содержит фитоэстраген)
✔️ Противовоспалительное
✔️ Ранозаживляющее
✔️ Стимулирует менструации
✔️ Ветрогонное/желчегонное/мочегонное
✔️ Антиоксидант - выводит токсины
✔️ Спазмолитик
✔️ Отхаркивающее
⠀
ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ:
⠀
✔️ Развивает верность себе и способность принимать самостоятельные решения
✔️ Выводит из состояния маринеточности и зависимости от чужого мнения
✔️ Убирает желание всегда быть правильным
✔️ Развивает способность слушать свой внутренний голос
✔️ Помогает осознать свою уникальность
✔️ Избавляет от самопредательства

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Бергамот","Бергамот - великолепный растительный антидепрессант 💚

Основной химический состав: 
22-36 % линолиловый ацетат, лимонен 30-45%, линалоол 3-15%

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️фунгицидное 
✔️антисептик 
✔️антидепрессант
✔️тонизирующее
✔️антисклеротическое 
✔️регулирует аппетит 
✔️афродизиак 
✔️противовоспалительное 
✔️антистресс 
✔️спазмолитик
✔️отхаркивающее
✔️снижает тягу к никотину
✔️уменьшает секрецию сальных и потовых желез 
✔️сужает поры 
✔️желчегонное 
✔️нормализует работу ЖКТ 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️отчаяние 
✔️заниженная самооценка 
✔️самоосуждение
✔️непривлекательность
✔️безнадёжность

Развивает: 
✔️самопринятие
✔️оптимизм
✔️уверенность 
✔️надежда 
✔️привлекательность

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Ветивер ","Ветивер - самое мощное масло для сосредоточения 🙏🏻 

Химический состав: 
Изоваленценол до 15%, бицикловетиверол до 13%, кусенол до 11% и другие компоненты

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️успокаивает ЦНС (седативное, релаксант) 
✔️укрепляет иммунную систему 
✔️стимулирует кровообращение 
✔️антисептик 
✔️спазмолитик
✔️разогревающее
✔️сильный афродизиак 
✔️фунгицидное (трихомонада) 
✔️регулирует уровень мужских половых гормонов 
✔️улучшает регенерацию клеток 
✔️нормализует обмен веществ

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️апатию 
✔️разобщённость
✔️рассеянность
✔️напряжение
✔️витание в облаках
✔️избегание 
✔️кризис 

Развивает:
✔️центрированность 
✔️заземленность 
✔️присутствие
✔️Эмоциональная осознанность 
✔️единение 
✔️проникновение вглубь себя

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Имбирь","Имбирь - пряность номер один в Индии! Чистая благость! Мощнейший иммуномодулятор 💪🏼

Химический состав включает около 150 компонентов! Основные: цингиберен 30%, Бетта и гамма бисаболены 13%, альфа-куркумен 8% и другие

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️ иммуномодулятор
✔️ помогает при укачиваниях
✔️стимулирует психику 
✔️тонизирует нервную систему 
✔️стимулирует секреторную функцию ЖКТ
✔️стимулирует кровоснабжение 
(лучшее масло для разжижения крови) 
✔️антибактериальное 
✔️ афродизиак
✔️ улучшает микроциркуляцию 
✔️ уменьшает секрецию сальных желёз 
✔️ местное обезболивание
✔️ ветрогонное 
✔️ мочегонное 
✔️ желчегонное 
✔️ противоотёчное
✔️ спазмолитик
✔️ противовоспалительное 
✔️ глистогонное 
✔️ противовирусное

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️менталитет жертвы 
✔️бессилие 
✔️нежелание брать ответственность 
✔️поверженность
✔️перекладывание вины 

Развивает: 
✔️самостоятельность 
✔️целеустремлённость 
✔️боевой дух 
✔️решимость
✔️ответственность

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Чёрная ель ","🌲 Ель - эфир из хвойной группы. Великолепный антисептик с  противовоспалительными свойствами! 

🔸 Химический состав: Борнилацетат до 30%, пинен, камфен, камфора, дипентен, сантен, трициклен, орелландрен и т.д

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️антибактериальное 
✔️иммуностимулятор 
✔️симулирует кровоток и лимфоток
✔️улучшает проводимость в миокарде 
✔️адаптоген 
✔️противовоспалительное 
✔️потогонное 
✔️отхаркивающее 
✔️фунгицидное 
✔️антисклеротическое 
✔️тонизирующее
✔️повышает работоспособность 
✔️антиоксидант
✔️мочегонное 
✔️желчегонное 
✔️местно-обезболивающее 
✔️регенерирующее
✔️стабилизатор давления
✔️афродизиак 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

✔️масло философов и мыслителей 
✔️уединение и спокойствие 
✔️помогает остановиться и подумать, проанализировать ситуацию и принять решение

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Герань ","Герань - эфирное масло из группы женских архетипов. Великолепно работает с женской репродуктивной системой 🌺

🔸 Химический состав: цитронеллол 22-32%, гераниол 18-29%, линаллол 7-13%, нерол 1% и другие 

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️противовоспалительное 
✔️фунгицидное 
✔️гормональное (нормализует уровень гормонов при климаксе, а так же уровень адреналина и норадреналина) 
✔️антидепрессант
✔️регенерирующее 
✔️спазмолитик
✔️антисептик 
✔️стимулирует нервно-психическую деятельность
✔️повышает тонус сосудов мозга 
✔️иммуномодулятор 
✔️стабилизатор артериального давления ( при длит. применении)
✔️восстанавливает обоняние 
✔️противоопухолевое 
✔️борется с диабетом 
✔️кровоостанавливающие 
✔️репеллент 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️чувство утраты
✔️сиротливость 
✔️недоверие 
✔️злопамятность 
✔️разочарование 
✔️печаль
✔️скорбь 
✔️гнев 

Развивает: 
✔️эмоциональное исцеление 
✔️чуткость 
✔️доверие 
✔️прощение
✔️нежность 
✔️терпимость 
✔️открытость

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Гвоздика","Гвоздика - лучшее масло стоматологов 🦷😄 из-за мощного анестезирующего действия! 

🔸 Химический состав: 
эвгенол 80-85%, эвгенилацетат 8-12%, кариофиллен до 9% 

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️антибактериальное 
✔️противовирусное 
✔️нормализует пищеварение 
✔️увеличивает секреторно-моторную функцию ЖКТ
✔️тонизирующее
✔️стимулирующее
✔️спазмолитическое (особенно сосуды головного мозга) 
✔️противовоспалительное 
✔️местное обезболивание 
✔️иммуномодулирующее (Т и В системы) 
✔️противоопухолевое 
✔️родостимулирующее 
✔️антисептическое 
✔️регенерирующее
✔️глистогонное 
✔️антипаразитарное 
✔️отхаркивающее 
✔️стабилизатор давления 
✔️афродизиак 
✔️ветрогонное 
✔️увеличивает объём памяти 
✔️репеллент

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️менталитет жертвы 
✔️подавленность 
✔️боязнь отказа 
✔️бессилие 
✔️запуганность 

Развивает: 
✔️скромность
✔️гибкость
✔️готовность
✔️обучаемость 
✔️непритязательность

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
